Category Name AR,Category Name English,Category Name French,Item Name Arabic,Description Arabic,Item Name English,Description English,Item Name French,Description French,Item img URL,item Price
وجبات كولومبية,Individual Colombian Meals,Repas individuels colombiens,تامال توليمينسي,أرز متبل محشو بالدجاج والخنزير والجزر والبطاطس والتوابل، مطهو في ورق الموز ويقدم مع أريبا وقهوة أو شوكولاتة ساخنة.,Tamal Tolimense,"Seasoned rice mixture stuffed with chicken, pork, carrots, potatoes and spices, cooked in a banana leaf and served with arepa and coffee or hot chocolate.",Tamal Tolimense,"Préparation de riz savoureuse farcie de poulet, porc, carottes, pommes de terre et épices, cuite dans une feuille de bananier et servie avec arepa et café ou chocolat chaud.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/4218ca1d09174218364162cd0b1a8cc1.jpeg,16.00
وجبات كولومبية,Individual Colombian Meals,Repas individuels colombiens,بيستيك آ كابايو,شريحة لحم بقري في صلصة كريولا، مع موز أخضر وأريبا وبيض.,Bistec a Caballo,"Beef steak in criolla sauce, served with plantain, arepa and eggs.",Bistec a Caballo,"Steak de bœuf dans une sauce criolla, servi avec banane plantain, arepa et œufs.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/58f691da9eaef86b0b51f9b2c483fe63.jpeg,30.00
وجبات كولومبية,Individual Colombian Meals,Repas individuels colombiens,تشوليتا كالينيا,قطعة لحم خنزير مغطاة بالبقسماط، تقدم مع الأرز الأبيض والموز الأخضر والبطاطس المقلية.,Chuleta Caleña,"Breaded pork chop served with white rice, green plantain and fries.",Chuleta Caleña,"Côtelette de porc panée servie avec riz blanc, plantain vert et frites.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/bc9c318a9c96996e2d990faf2b0c65f6(1).jpeg,30.00
وجبات كولومبية,Individual Colombian Meals,Repas individuels colombiens,نصف تشوليتا كالينيا,نصف قطعة لحم خنزير مغطاة بالبقسماط، تقدم مع الأرز الأبيض والباتاكون والبطاطس المقلية.,Half Chuleta Caleña,"Half breaded pork chop served with white rice, patacon and fries.",Demi-Chuleta Caleña,"Demi-côtelette de porc panée servie avec riz blanc, patacon et frites.",,22.00
الشوربات,Meal Soups,Soupes-repas,أخياكو بوغوتانو,شوربة غنية بثلاثة أنواع من البطاطس والدجاج مع توابل غواسكاس، تقدم مع فخذ دجاج وأرز وكبر وكريمة.,Ajiaco Bogotano,"Hearty soup with three types of potatoes and chicken, seasoned with Guasca, served with chicken thigh, rice, capers and cream.",Ajiaco Bogotano,"Soupe consistante aux trois sortes de pommes de terre et au poulet, assaisonnée de guasca, servie avec cuisse de poulet, riz, câpres et crème.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/b4facf495c22df52f3ca635379ebe613.jpeg,26.00
الشوربات,Meal Soups,Soupes-repas,سانكوتشو دي جالينا,مرق دجاج مع البطاطس والموز الأخضر والذرة واليوكا، يقدم مع الأرز الأبيض والأفوكادو وصلصة آخي.,Sancocho de Gallina,"Chicken broth with potato, green plantain, corn and cassava, served with white rice, avocado and Aji.",Sancocho de Gallina,"Bouillon de poulet avec pommes de terre, plantain vert, maïs et manioc, servi avec riz blanc, avocat et Aji.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/b4facf495c22df52f3ca635379ebe613(6).jpeg,31.00
المأكولات البحرية,Seafood Meals,Repas de fruits de mer,باييلا,أرز بالمأكولات البحرية مثل الروبيان والحبار والسلطعون وبلح البحر، مع صلصة الفلفل الأحمر والأخضر والنبيذ الأبيض.,Paella,"Special seafood rice with shrimp, squid, crab and mussels, prepared with red and green pepper sauce and white wine.",Paella,"Riz spécial aux fruits de mer avec crevettes, calamars, crabe et moules, préparé avec une sauce aux poivrons rouges et verts et du vin blanc.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/4218ca1d09174218364162cd0b1a8cc1(1).jpeg,32.00
المأكولات البحرية,Seafood Meals,Repas de fruits de mer,كازويلا دي ماريسكوس,يخنة كريمية من المأكولات البحرية وحليب جوز الهند والفلفل، مع الروبيان والحبار والسلطعون وبلح البحر، تقدم مع باتاكون وأرز أبيض.,Seafood Casserole,"Creamy seafood stew with coconut milk and pepper, shrimp, squid, crab and mussels, served with patacon and white rice.",Cazuela de mariscos,"Ragoût crémeux de fruits de mer avec lait de coco et poivre, crevettes, calamars, crabe et moules, servi avec patacon et riz blanc.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/4218ca1d09174218364162cd0b1a8cc1(2).jpeg,32.00
المأكولات البحرية,Seafood Meals,Repas de fruits de mer,سمك مقلي كامل,سمكة كاملة مقلية تقدم مع البطاطس المقلية والموز واليوكا والسلطة.,Fried Fish,"Whole fried fish served with fries, plantain, cassava and salad.",Poisson entier frit,"Poisson entier frit servi avec frites, banane plantain, manioc et salade.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/58f691da9eaef86b0b51f9b2c483fe63(3).jpeg,32.00
المشروبات الكولومبية,Colombian Soft Drinks,Boissons gazeuses colombiennes,كولومبيانا علبة,مشروب غازي كولومبي في علبة.,Colombiana Can,"Colombiana Colombian soft drink in a can.",Colombiana - Canette,"Boisson gazeuse colombienne en canette.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/58f691da9eaef86b0b51f9b2c483fe63(4).jpeg,4.00
المشروبات الكولومبية,Colombian Soft Drinks,Boissons gazeuses colombiennes,كولومبيانا 1.5 لتر,مشروب كولومبيانا بحجم 1.5 لتر.,Colombiana 1.5L,"Colombiana soft drink, 1.5 L.",Colombiana 1,5 L,"Boisson Colombiana, 1,5 L.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/58f691da9eaef86b0b51f9b2c483fe63(1).jpeg,8.00
المشروبات الكولومبية,Colombian Soft Drinks,Boissons gazeuses colombiennes,بوني مالطا - 6 عبوات,عبوة من ست زجاجات بوني مالطا.,Pony Malta - 6 Pack,"Six-pack of Pony Malta.",Pony Malta - Paquet de 6,"Paquet de 6 Pony Malta.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/58f691da9eaef86b0b51f9b2c483fe63(2).jpeg,18.00
المشروبات الكولومبية,Colombian Soft Drinks,Boissons gazeuses colombiennes,مانزانا,مشروب غازي بنكهة التفاح.,Manzana Soft Drink,"Apple-flavored soft drink.",Boisson gazeuse Manzana,"Boisson gazeuse à saveur de pomme.",,4.00
العصائر الطبيعية,Natural Juices,Jus naturels,عصائر طبيعية بالماء,عصائر فواكه طبيعية محضرة بالماء مع اختيار النكهة.,Natural Juices with Water,"Natural fruit juices prepared with water; choice of flavor.",Jus naturels avec de l'eau,"Jus de fruits naturels préparés avec de l'eau; choix de saveur.",,5.00
العصائر الطبيعية,Natural Juices,Jus naturels,بيتشير عصير طبيعي,إبريق كبير من العصير الطبيعي.,Natural Juice Pitcher,"Pitcher of natural fruit juice.",Pichet de jus naturel,"Pichet de jus de fruits naturel.",,18.00
الحلويات,Desserts,Desserts,حلوى,كيك إسفنجي مغطى بالكريمة المخفوقة والكرز، مع صوص أحمر وشرائح برتقال.,Dessert,"Sponge cake topped with whipped cream and a cherry, drizzled with red syrup and served with orange slices.",Dessert,"Gâteau éponge garni de crème fouettée et d'une cerise, nappé de sirop rouge et servi avec des tranches d'orange.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/bc9c318a9c96996e2d990faf2b0c65f6(3).jpeg,8.00
وجبات سريعة,Express Menu,Menu Express,بوتين كولومبية,بوتين مع تشوريزو كولومبي وصلصة كريولا وجبن مقرمش.,Colombian Poutine,"Poutine topped with Colombian chorizo, criolla sauce and crispy cheese.",Poutine colombienne,"Poutine garnie de chorizo colombien, de sauce criolla et de fromage croustillant.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/58f691da9eaef86b0b51f9b2c483fe63(5).jpeg,22.00
وجبات سريعة,Express Menu,Menu Express,باتاكون برجر,برجر يجمع بين الباتاكون وقطعة تشوريزو مع الجبن والبصل والذرة، يقدم مع البطاطس المقلية.,Patacon Burger,"Burger combining fried green plantain patacon with a chorizo patty, cheese, onions and corn, served with fries.",Patacon Burger,"Burger combinant le patacon de plantain vert et une galette de chorizo, avec fromage, oignons et maïs, servi avec frites.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/58f691da9eaef86b0b51f9b2c483fe63(6).jpeg,23.00
وجبات سريعة,Express Menu,Menu Express,سيفيتشي تشيتشارون,لحم بطن الخنزير في صلصة باربكيو منزلية مع البصل الأحمر والذرة والباتاكون.,Chicharron Ceviche,"Pork belly in homemade BBQ sauce with red onion, corn and patacon.",Ceviche de Chicharron,"Poitrine de porc dans une sauce BBQ maison avec oignon rouge, maïs et patacon.",https://axiwfkpwgyvccdzpclfu.supabase.co/storage/v1/object/public/vendors-imgs/la-saveur-colombienne/58f691da9eaef86b0b51f9b2c483fe63(7).jpeg,24.00
