Category Name AR,Category Name English,Item Name Arabic,Description Arabic,Item Name English,Description English,Item img URL,item Price
الركن البدوي,Bedouin Corner,فحسة كندوز,قطع لحم كندوز تُطهى ببطء مع توابل وأعشاب حتى تصبح طرية ومليئة بالعصارة,Mutton MABAKBAKA PASTA,Kandouz meat pieces are slowly cooked with spices and herbs until tender and juicy,https://images.deliveryhero.io/image/global-menu-service/HF_EG/vendor/737112/product/426221017/5b3497d6-4d31-455f-9db0-cd80b962ab72_original.jpg,456
صواني الريم,Al-Reem trays,,,,,,
صواني الريم,Al-Reem trays,غزال الريم,"ثمن تيس مندي، كيلو كفتة، فرخة مشوية و ارز بسمتي",Ghazal Alreem,"1/8 Teis mandi, kilo kofta, grilled chicken and basmati rice",https://images.deliveryhero.io/image/global-menu-service/HF_EG/vendor/737112/product/426221019/c620e90d-5003-4714-8426-0265299d46d2.jpg,2280
صواني الريم,Al-Reem trays,غاوي مشاوي,"كيلو كباب، كيلو كفتة، كيلو شيش، نصف كيلو كبدة مشوية، نصف كيلو سجق مشوي و ارز بسمتي",Ghazal Alreem,"kilo kebab, kilo kofta, kilo shish, half kilo grilled liver, half kilo grilled sausage and basmati rice.",https://images.deliveryhero.io/image/talabat/MenuItems/%D8%BA%D8%A7%D9%88%D9%8A_%D9%85%D8%B4%D8%A7%D9%88%D9%8A638578024748946465.jpg,3990
صواني الريم,Al-Reem trays,الصحاب,"ربع تيس مندي، كيلو كفتة، كيلو شيش، نصف كيلو كبدة مشوية، فرخة مشوية و ارز بسمتي",Ghazal Alreem,"1/4 Teis mandi, kilo kofta, kilo shish, half kilo grilled liver, grilled chicken and basmati rice.",https://images.deliveryhero.io/image/global-menu-service/HF_EG/vendor/737112/product/426221021/b62f33d1-c5f5-49fc-927a-58651d5cdfd3_original.jpg,4560
صواني الريم,Al-Reem trays,العيلة الكبيرة,"كيلو ونص كباب، كيلو كفتة، كيلو شيش، فرخة مشوية، 4 فرد حمام و ارز بسمتي",Ghazal Alreem,"kilo and half kebab, kilo kofta, kilo shish, grilled chicken, 4 single pigeons and basmati rice.",https://images.deliveryhero.io/image/global-menu-service/HF_EG/vendor/737112/product/426221022/f177821d-df7a-4c4c-9c32-bd8fe3fcfec8_original.jpg,5130
صواني الريم,Al-Reem trays,التوفير,"ثمن تيس مندي، كيلو كفتة، نصف كيلو كبدة مشوية، نصف كيلو سجق مشوي، نصف كيلو طرب، فرخة مشوية، فرخة مندي و 4 فرد حمام",Ghazal Alreem,"1/8 Teis mandi, kilo kofta, half kilo grilled liver, half kilo grilled sausage, half kilo tarb, grilled chicken, mandi chicken, and 4 single pigeons.",https://images.deliveryhero.io/image/global-menu-service/HF_EG/vendor/737112/product/426221023/297ec9f3-2578-4f41-8cb1-4c8aadb7b6b9.jpg,5700
صواني الريم,Al-Reem trays,الاكيلة,"نصف تيس مندي، كيلو كفتة، نصف كيلو كبدة مشوية، نصف كيلو شيش طاووق، 2 فرخة مشوية و ارز بسمتي",Ghazal Alreem,"Half Teis mandi, kilo kofta, half kilo grilled liver, half kilo shish tawook, 2 grilled chicken and basmati rice.",https://images.deliveryhero.io/image/talabat/MenuItems/%D8%A7%D9%84%D8%A7%D9%83%D9%8A%D9%84%D8%A9638578021992805292.jpg,6666
قسم المندي,Mandi section,,,,,,
قسم المندي,Mandi section,نفر لحم مندي سوبر,"قطع لحم مطهية ببطء في حفرة تحت الأرض مع توابل و بهارات، تُقدم مع أرز. سوبر يعني أنه يأتي بحصة كبيرة",Nafar super meat,"Slow-cooked pieces of meat in an underground pit with seasonings and spices, served with rice. Super means it comes in a large portion",https://images.deliveryhero.io/image/global-menu-service/HF_EG/vendor/737112/product/426221004/49088f0d-34f3-4e63-bf84-bcff04d6fc82_original.jpg,524.4
قسم المندي,Mandi section,نفر لحم مندي,"مشابه لنفر لحم مندي سوبر، ولكنه بحصة عادية",Nafar meat mandi,"Similar to the Nafar Super meat Mandi, but in a regular portion",https://images.deliveryhero.io/image/talabat/MenuItems/Nafar_meat_mandi638578041103163287.jpg,456
قسم المندي,Mandi section,تيس مندي,"خروف كامل يُطهى ببطء في حفرة تحت الأرض مع توابل و بهارات، يُقدم مع أرز",Teis mandi,"Whole lamb slowly cooked in an underground pit with seasonings and spices, served with rice",https://images.deliveryhero.io/image/talabat/MenuItems/Teis_mandiQ638578040777533990.jpg,8379
قسم المندي,Mandi section,نصف تيس مندي,"نصف خروف يُطهى ببطء في حفرة تحت الأرض مع توابل و بهارات، يُقدم مع أرز",Half Teis mandi,"Half lamb slowly cooked in an underground pit with seasonings and spices, served with rice",https://images.deliveryhero.io/image/global-menu-service/HF_EG/vendor/737112/product/426221010/59ee4040-f374-4fc5-99fe-b574121c3a0e_original.jpg,4218
قسم المندي,Mandi section,ربع تيس مندي,"ربع خروف يُطهى ببطء في حفرة تحت الأرض مع توابل و بهارات، يُقدم مع أرز",quarter Teis mandi,"quarter lamb slowly cooked in an underground pit with seasonings and spices, served with rice",https://images.deliveryhero.io/image/talabat/MenuItems/%D8%B1%D8%A8%D8%B9_%D8%AA%D9%8A%D8%B3_%D9%85%D9%86%D8%AF%D9%89638578023798263200.jpg,2109
قسم المندي,Mandi section,ثمن تيس مندي,"جزء صغير من الخروف يُطهى ببطء في حفرة تحت الأرض مع توابل و بهارات، يُقدم مع أرز.",1/8 Teis mandi,"small portion of lamb slowly cooked in an underground pit with seasonings and spices, served with rice.",https://images.deliveryhero.io/image/global-menu-service/HF_EG/vendor/737112/product/426221014/5fae3d1e-f6d2-4f4b-ba4a-66aa4cbc4170_original.jpg,1048.8
قسم المندي,Mandi section,فرخة مندي,"دجاجة كاملة تُطهى ببطء في حفرة تحت الأرض مع توابل و بهارات، تُقدم مع أرز",Mandi chicken,"whole chicken slowly cooked in an underground pit with seasonings and spices, served with rice",https://images.deliveryhero.io/image/talabat/MenuItems/Mandi_chicken638578041462239711.jpg,276.2
قسم المندي,Mandi section,نصف فرخة مندي,"نصف دجاجة تُطهى ببطء في حفرة تحت الأرض مع توابل و بهارات، تُقدم مع أرز",Half mandi chicken,"Half chicken slowly cooked in an underground pit with seasonings and spices, served with rice",https://images.deliveryhero.io/image/talabat/MenuItems/%D9%86%D8%B5_%D9%81%D8%B1%D8%AE%D9%87_%D9%85%D9%86%D8%AF%D9%89638578025977135096.jpg,239.4
